token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,label
Tb,Tb,Ty,Sr,Sr,Ty,Sb,Sy,Sy,Sy,1
Tr,Ty,Tb,Sb,Sy,Sr,Sr,Sb,Sr,Tr,0
Sb,Tr,Sr,Sb,Sg,Sr,Sg,Sb,Tb,Tb,0
Ty,Sb,Sb,Tb,Tr,Ty,Sr,Sr,Tg,Sy,0
Tg,Tb,Tg,Tb,Sb,Ty,Sb,Sy,Sg,Tg,0
Tg,Ty,Ty,Tr,Sg,Tg,Sg,Sb,Sg,Tr,1
Tr,Tb,Tr,Sr,Sb,Sr,Tg,Ty,Tg,Tg,1
Tg,Sg,Tb,Sb,Tb,Tg,Tr,Sr,Tb,Sy,1
Sg,Tr,Sb,Tg,Tb,Sb,Tb,Tb,Sy,Sy,0
Tr,Sb,Tg,Sr,Sb,Sg,Tr,Ty,Sy,Tr,0
Tg,Tr,Sb,Sy,Tg,Ty,Sy,Ty,Sb,Ty,1
Sg,Sy,Sg,Sb,Sy,Sg,Tb,Tg,Tr,Sg,1
Tg,Sr,Tb,Tg,Sy,Tr,Ty,Sr,Sr,Sy,1
Tb,Tr,Tb,Sb,Tr,Tr,Tr,Tb,Sb,Ty,1
Tg,Ty,Sr,Sg,Sy,Sy,Tr,Sr,Sy,Sy,0
Tr,Tg,Sr,Tb,Sb,Sr,Sy,Sy,Tb,Tb,1
Ty,Ty,Tg,Sb,Tb,Sb,Sg,Sy,Sb,Sy,0
Ty,Tg,Tr,Tr,Tr,Sy,Sy,Ty,Sr,Tb,1
Sy,Tb,Sg,Sr,Sy,Ty,Tr,Tb,Tr,Sb,0
Ty,Sb,Sb,Sy,Sb,Sb,Sy,Sy,Sr,Sr,1
Tb,Sb,Ty,Sg,Sy,Sy,Sy,Sg,Sr,Tr,1
Sy,Sy,Tr,Sr,Sy,Tg,Sr,Tb,Sy,Tr,0
Sb,Ty,Sg,Ty,Sg,Sb,Sy,Tb,Sg,Tg,0
Sr,Tb,Sr,Ty,Sy,Sg,Tg,Sb,Tg,Sb,1
Tb,Tb,Tg,Sg,Tr,Sb,Ty,Sb,Tg,Ty,1
Sb,Tg,Tb,Sb,Sg,Tb,Sr,Sb,Sg,Sg,0
Sg,Sg,Tg,Tr,Sg,Tr,Tg,Ty,Sb,Sr,1
Ty,Sr,Sg,Ty,Sb,Sy,Tb,Sg,Ty,Tg,1
Sb,Tb,Sg,Sg,Tg,Sr,Sy,Sr,Sy,Sg,1
Tr,Sg,Tg,Tg,Ty,Sg,Tb,Tb,Tg,Ty,0
Tg,Sr,Ty,Sr,Ty,Sr,Sb,Sy,Sy,Tr,1
Sy,Sr,Sr,Tr,Sb,Ty,Sb,Ty,Sb,Tb,1
Sy,Tr,Sy,Sb,Tg,Sr,Ty,Sy,Ty,Tr,1
Tr,Tg,Tg,Tg,Tr,Tb,Sr,Sg,Sb,Sy,0
Sy,Tr,Sy,Sb,Sy,Tg,Ty,Sg,Tr,Tr,1
Sb,Sg,Sg,Tb,Tb,Tb,Sb,Sg,Sr,Sg,0
Sy,Tr,Tr,Sg,Ty,Tb,Tr,Sr,Tb,Tr,0
Ty,Tg,Tr,Ty,Sb,Tr,Tg,Sb,Sy,Tb,0
Ty,Tr,Tr,Tg,Sg,Sy,Tg,Tb,Tg,Sb,1
Sy,Tg,Sr,Sb,Sy,Tb,Sy,Tb,Sb,Tr,1
Tr,Tr,Tg,Ty,Ty,Sy,Tr,Sy,Sr,Sg,0
Sr,Tg,Sb,Sb,Sb,Tg,Sy,Ty,Tb,Sr,1
Ty,Sb,Sb,Tr,Tg,Sy,Tg,Sy,Sr,Sy,1
Sy,Sr,Tg,Tr,Tr,Ty,Ty,Sg,Tg,Tb,0
Tg,Sb,Sb,Tb,Ty,Sg,Ty,Tg,Tb,Tg,1
Tr,Ty,Tr,Sb,Sg,Tr,Ty,Tg,Sg,Sg,1
Sr,Ty,Ty,Tr,Ty,Sb,Tb,Tg,Sr,Sb,0
Tr,Sr,Sr,Sr,Sy,Ty,Tb,Sb,Tr,Tr,0
Tb,Ty,Tg,Tg,Sg,Sg,Sy,Sb,Sb,Tg,0
Tb,Sb,Tg,Sr,Sg,Sy,Sy,Sy,Tg,Sg,1
Sy,Tb,Tg,Tb,Sb,Ty,Sb,Sg,Ty,Sr,0
Sy,Sb,Sb,Ty,Tr,Tr,Sg,Tr,Sr,Sb,1
Sr,Sb,Sr,Sb,Tb,Ty,Sy,Sr,Sb,Sb,1
Sr,Tb,Sg,Sr,Ty,Tb,Sy,Ty,Tb,Ty,0
Ty,Ty,Tr,Ty,Sr,Sg,Sr,Tg,Tg,Sr,0
Sr,Sy,Tg,Sr,Sg,Tg,Tr,Ty,Tr,Sy,1
Sg,Sr,Tg,Tb,Tg,Sg,Tg,Sy,Sg,Sr,0
Tr,Sr,Sy,Sy,Sy,Sb,Tb,Sy,Tb,Tb,0
Tr,Sr,Tg,Sy,Tg,Sy,Sy,Tg,Tb,Tr,0
Tg,Sy,Tr,Ty,Sy,Tb,Sg,Sr,Sy,Tb,0
Sy,Sr,Ty,Tb,Sy,Tb,Tr,Ty,Tr,Sr,0
Tg,Tg,Sy,Sg,Tg,Tb,Tg,Tb,Sy,Sg,1
Sg,Sg,Tr,Tb,Tr,Sg,Sr,Ty,Tg,Sb,0
Tr,Sg,Sg,Tb,Sb,Tr,Tr,Sr,Sy,Sb,1
Sr,Sb,Tg,Ty,Tg,Tg,Tr,Tr,Sr,Sy,0
Tg,Tr,Ty,Tb,Tb,Sr,Sb,Sy,Tb,Tb,1
Sb,Tg,Sy,Sb,Sb,Sb,Tg,Sb,Ty,Tb,0
Sb,Sg,Ty,Tr,Sb,Ty,Tg,Sy,Tb,Tb,1
Tr,Sr,Tg,Sb,Ty,Sy,Sr,Tb,Sg,Tb,1
