token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,label
Tb,Cy,Ty,Cg,Sg,Cr,Cr,Tg,Cb,Sr,Cr,0
Sg,Cy,Ty,Cb,Cb,Sr,Sy,Tb,Cg,Cr,Sr,0
Cy,Cr,Cr,Ty,Sg,Sb,Sy,Cb,Cg,Cy,Cg,1
Sg,Cg,Sr,Sr,Sr,Tg,Tr,Tr,Cg,Tr,Cr,0
Sy,Sr,Sy,Cg,Cr,Sb,Cr,Sy,Sg,Ty,Cg,0
Cy,Ty,Sg,Tg,Cb,Sy,Tb,Cg,Cg,Tg,Tr,1
Sr,Sg,Sy,Cr,Sr,Cy,Sg,Tb,Ty,Ty,Cy,1
Sr,Sb,Cg,Cb,Sb,Cy,Tg,Sr,Ty,Sy,Cy,0
Cy,Ty,Tr,Cg,Tb,Sy,Tr,Sg,Ty,Sg,Cb,1
Sy,Ty,Sr,Sb,Tr,Ty,Ty,Cr,Cg,Cg,Sg,0
Cb,Cr,Cy,Ty,Cr,Sr,Cy,Cy,Sg,Tb,Tg,1
Tr,Tb,Sr,Tg,Sr,Cb,Sy,Sr,Cb,Sb,Cg,1
Cr,Cb,Sg,Sb,Cb,Sb,Sy,Tb,Cy,Sg,Tb,0
Tg,Cy,Sb,Sb,Cb,Cy,Sg,Tg,Cg,Tb,Sy,0
Cg,Tr,Sb,Tb,Tb,Sb,Tb,Cy,Cr,Cb,Sg,0
Sb,Sg,Cy,Sb,Sg,Sg,Sg,Tb,Sb,Tr,Sb,0
Sb,Tb,Tr,Tr,Sb,Sr,Sy,Tr,Sg,Tg,Tr,1
Tr,Cg,Sy,Tg,Cy,Tr,Sb,Sy,Tg,Sb,Sg,1
Cb,Sg,Tr,Cb,Cg,Sg,Cb,Cy,Tr,Tb,Sr,1
Cb,Cy,Sy,Cr,Ty,Tr,Sr,Tr,Sy,Sr,Tr,0
Sb,Cy,Ty,Cg,Cg,Cr,Sr,Cg,Cr,Cy,Sy,0
Sb,Sr,Cy,Tb,Sr,Sg,Sb,Cb,Cg,Cr,Sg,1
Cr,Sg,Cy,Tr,Sy,Cy,Ty,Cg,Tr,Ty,Cy,0
Sr,Cg,Tr,Cb,Sy,Sg,Sy,Sy,Tr,Cb,Sy,0
Sr,Tr,Tg,Ty,Ty,Sg,Tb,Cb,Cb,Cg,Tr,1
Cy,Sr,Cg,Tr,Cy,Sr,Tr,Tg,Cr,Sy,Cr,1
Sg,Tr,Tg,Sr,Tg,Cr,Ty,Tr,Cy,Sb,Sr,0
Cg,Ty,Cg,Tb,Ty,Cr,Ty,Cb,Sg,Sy,Tr,0
Tb,Tb,Sb,Tb,Cy,Sb,Cy,Tb,Tg,Tg,Cb,0
Sy,Cb,Tb,Ty,Tr,Sb,Sg,Cr,Tr,Sg,Cg,0
Cy,Ty,Cr,Cb,Cb,Cy,Sb,Sg,Sg,Tr,Sr,1
Sr,Tb,Cb,Sb,Cr,Sy,Sr,Sr,Cg,Cb,Sb,0
Cr,Cr,Cg,Cb,Ty,Tg,Sb,Cy,Cy,Cr,Cr,1
Ty,Tb,Sg,Cg,Sy,Sy,Tg,Ty,Sg,Cb,Sb,0
Ty,Cb,Sb,Tr,Cy,Cy,Tg,Sy,Tg,Sy,Sy,0
Ty,Cb,Tg,Cb,Tb,Cg,Sr,Cr,Sg,Tb,Sr,1
Cr,Cy,Cg,Tg,Cr,Sr,Sy,Sr,Cg,Tb,Tb,0
Sg,Cg,Cg,Cr,Tb,Cy,Cy,Cb,Cb,Cb,Ty,0
Sb,Tr,Ty,Cr,Sb,Tg,Ty,Sy,Sb,Cy,Tg,0
Sr,Sr,Cb,Tr,Sy,Cg,Sb,Cr,Tg,Sg,Tg,1
Sg,Cr,Sb,Tr,Tr,Cg,Cg,Sg,Sr,Cy,Cr,1
Cb,Tb,Cr,Sg,Sr,Sb,Sg,Tg,Tg,Sy,Sb,0
Sy,Sy,Cb,Ty,Cr,Sg,Cb,Sy,Tr,Tg,Sg,1
Tr,Sr,Cg,Sy,Tb,Cy,Cb,Cr,Sr,Sr,Cr,1
Sr,Ty,Cr,Tr,Sy,Tr,Tg,Cr,Sr,Tr,Ty,0
Cg,Cy,Sg,Sr,Sb,Cg,Tr,Tb,Sb,Sg,Cy,0
Sr,Sg,Ty,Cy,Tg,Sg,Sb,Sr,Sy,Sg,Ty,0
Tg,Sb,Sr,Sy,Sr,Cy,Cg,Sb,Ty,Cg,Cy,0
Sb,Sy,Cy,Sr,Tr,Sr,Tg,Sb,Tg,Cy,Cg,1
Sb,Cb,Tr,Sb,Tr,Sr,Sb,Tb,Cg,Sy,Cr,0
Cg,Ty,Ty,Cr,Ty,Sr,Cy,Ty,Cb,Sb,Ty,1
Cy,Cb,Sy,Ty,Ty,Cr,Tr,Cg,Tr,Tg,Cg,1
Sy,Sr,Sy,Cg,Sr,Sy,Sy,Cb,Ty,Tb,Sr,0
Cy,Ty,Ty,Tr,Tb,Cr,Sb,Sy,Sg,Sg,Sg,0
Tg,Sg,Cr,Ty,Tb,Cb,Sy,Sb,Tg,Ty,Sg,1
Sb,Tb,Sr,Ty,Sy,Sy,Tb,Sy,Cr,Sr,Ty,0
Tg,Tb,Cg,Sy,Sr,Cg,Tr,Tb,Sr,Cg,Cb,1
Cy,Cy,Tg,Tb,Tr,Sb,Cb,Sb,Cy,Cr,Cg,0
Sr,Cy,Cg,Cr,Cb,Tg,Sg,Cy,Sy,Sb,Sb,1
Sr,Tr,Sr,Cy,Cy,Cb,Cy,Cy,Sg,Sr,Ty,1
Ty,Sy,Cy,Cb,Sr,Cr,Sb,Cr,Tr,Sb,Tb,1
Ty,Sr,Tr,Sb,Tg,Tr,Cg,Tr,Cy,Sr,Sr,1
Sb,Cb,Tg,Cy,Cg,Sg,Cr,Cy,Tr,Cy,Ty,0
Sr,Tr,Cy,Cy,Cg,Tb,Tb,Sr,Ty,Cb,Tb,1
Cg,Cg,Cy,Cr,Sy,Ty,Tg,Sy,Sg,Tg,Ty,0
Sb,Ty,Tr,Tb,Tb,Cy,Sr,Sg,Sr,Sr,Cg,1
Cb,Cb,Ty,Sg,Tr,Sg,Sr,Tb,Cb,Sb,Sr,1
Tb,Sr,Cy,Sr,Cb,Sb,Cr,Tg,Sr,Sy,Tb,0
Tb,Tb,Sr,Sg,Tg,Cb,Tb,Tr,Tg,Sy,Cr,0
Sr,Cy,Cg,Ty,Sr,Tg,Tg,Ty,Sb,Sy,Tb,0
Cr,Cb,Sy,Tg,Cr,Tb,Sg,Sr,Cg,Tg,Tb,1
Tb,Sy,Ty,Cr,Sg,Tr,Tg,Ty,Cb,Sr,Cg,1
Cg,Sg,Sy,Cg,Ty,Ty,Tb,Ty,Sb,Sg,Cb,0
Sb,Cy,Sy,Sr,Sy,Cb,Tr,Tg,Tb,Cr,Sy,0
Cg,Sb,Sy,Sy,Ty,Sg,Tr,Tr,Cg,Cr,Ty,1
Cy,Cb,Tg,Tr,Tr,Sg,Tb,Tg,Cy,Tr,Tr,0
Tr,Sb,Sr,Tg,Sg,Cg,Tr,Tg,Cr,Tb,Ty,0
Sg,Tr,Tg,Cg,Cg,Ty,Sy,Cb,Tr,Tr,Tg,1
Tb,Sb,Tr,Ty,Tb,Tb,Tb,Tr,Sr,Cy,Tg,0
Tr,Tg,Tr,Cr,Sy,Cb,Cr,Sb,Ty,Ty,Cg,0
Sg,Sy,Sb,Sg,Cb,Cy,Cb,Sr,Tg,Tr,Cy,0
Sb,Cy,Cy,Ty,Ty,Sy,Cr,Cy,Sg,Cb,Sy,1
Sg,Tr,Tb,Cr,Ty,Cb,Tb,Cb,Cr,Cb,Sy,0
Tr,Cb,Ty,Ty,Tb,Cy,Sg,Cb,Cb,Tb,Tb,0
Sb,Sb,Sb,Sy,Sy,Tb,Tb,Sb,Sb,Cr,Cb,1
Sr,Cy,Ty,Ty,Ty,Sy,Sy,Tb,Sy,Ty,Sy,0
Cg,Cr,Tb,Sr,Sy,Ty,Sr,Cy,Tr,Cr,Sg,0
Sb,Tb,Sb,Ty,Ty,Tg,Tg,Ty,Cr,Sg,Cy,0
Cr,Tr,Sb,Tb,Tg,Cg,Cg,Sb,Tb,Sy,Cg,1
Tg,Ty,Tg,Ty,Cy,Cy,Tg,Cy,Cr,Tg,Cy,0
Sr,Sr,Cg,Ty,Sr,Tr,Ty,Sb,Sy,Ty,Tg,0
Cy,Tg,Sy,Cr,Cr,Cr,Sr,Cr,Tg,Ty,Sr,0
Cb,Cg,Sg,Sr,Sy,Cb,Cr,Tb,Cy,Sg,Tg,0
Tr,Tb,Cb,Tb,Sr,Sy,Cr,Cr,Tg,Sg,Cb,1
Sg,Sr,Cr,Tr,Cb,Tb,Tg,Sb,Cb,Tr,Ty,1
Sr,Tb,Cy,Sr,Sr,Tr,Tb,Cb,Sr,Cg,Sr,1
Sg,Cg,Sy,Cy,Cb,Ty,Sr,Cr,Tr,Tr,Ty,0
Ty,Sr,Tr,Sr,Ty,Sb,Cy,Tg,Sr,Sr,Cr,1
